%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
340288000.000000000	0.488164050	0.001476663	163.516651415	0.179332182	0.863511137	0.002205273	-107.342740297	0.152842806	0.863575398	0.002205451	-107.344840157	0.152843337	0.487840746	0.001475477	162.904152586	0.179362755
354454166.666667000	0.476318964	0.001484266	159.566159776	0.184139382	0.869390911	0.002218168	-111.408865111	0.152948184	0.869445507	0.002218317	-111.407550603	0.152949002	0.476035405	0.001493592	158.846935271	0.185645642
368620333.333333000	0.461926662	0.001506001	155.562282469	0.192151608	0.876371763	0.002227207	-115.538698914	0.152602258	0.876403566	0.002227296	-115.539194317	0.152602475	0.461669301	0.001509211	154.724315722	0.192872046
382786500.000000000	0.444874874	0.001554165	151.504945263	0.205501864	0.884406432	0.002210734	-119.739241979	0.150223120	0.884442621	0.002210817	-119.740395430	0.150222990	0.444591539	0.001539172	150.533341003	0.203660310
396952666.666667000	0.425012522	0.001592131	147.389643339	0.220075192	0.893379244	0.002195582	-124.032649408	0.147887594	0.893434838	0.002195709	-124.032959423	0.147886863	0.424677971	0.001576135	146.259807633	0.217879330
411118833.333333000	0.402273225	0.001617981	143.215755156	0.235279333	0.903044553	0.002207531	-128.418000535	0.147456994	0.903104615	0.002207663	-128.420602703	0.147456170	0.401869978	0.001612674	141.895347192	0.234849398
425285000.000000000	0.376597426	0.001657597	138.974626123	0.256847124	0.913234004	0.002226768	-132.903882999	0.147371293	0.913285107	0.002176128	-132.905564837	0.144178593	0.376100312	0.001642547	137.422294492	0.254792047
439451166.666667000	0.347972048	0.001700739	134.685060743	0.284223111	0.923763171	0.002194659	-137.495667338	0.143927723	0.923842642	0.002194842	-137.496101135	0.143927417	0.347375972	0.001692016	132.835380687	0.283319553
453617333.333333000	0.316491035	0.001742472	130.371452763	0.319310586	0.934227663	0.002179079	-142.202643913	0.141628818	0.934292709	0.002179229	-142.203390875	0.141628623	0.315797278	0.001730947	128.125037668	0.317858508
467783500.000000000	0.282244434	0.001777276	126.073754748	0.363926975	0.944361632	0.002187644	-147.010298843	0.141090228	0.944425678	0.002187796	-147.011818613	0.141090429	0.281440452	0.001766048	123.282091913	0.362714243
481949666.666667000	0.245254826	0.001820799	121.853100474	0.427873265	0.953935226	0.002179988	-151.926703140	0.139552459	0.953986107	0.002180112	-151.929498131	0.139552858	0.244305645	0.001810388	118.295030279	0.427074172
496115833.333333000	0.205709555	0.001864564	117.865417360	0.521756015	0.962560585	0.002144447	-156.937842821	0.136344291	0.962595682	0.002144524	-156.941090108	0.136344282	0.204565558	0.001851949	113.175526086	0.521097746
510282000.000000000	0.163937295	0.001898100	114.361482300	0.665203363	0.969874270	0.002139763	-162.039935800	0.135393667	0.969927468	0.002139879	-162.043051543	0.135393636	0.162510353	0.001881985	107.878869567	0.665525927
524448166.666667000	0.120376831	0.001921174	112.006453352	0.915817342	0.975638380	0.002145443	-167.214976448	0.135314744	0.975680889	0.002145535	-167.217535412	0.135314595	0.118425539	0.001903871	102.318959995	0.922541959
538614333.333333000	0.075953946	0.001943909	113.054962394	1.467052536	0.979559319	0.002125440	-172.448181271	0.133682032	0.979608674	0.002128279	-172.450105091	0.133853779	0.072798594	0.001915462	96.187718525	1.508464273
