%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
340288000.000000000	0.531362680	0.002305004	154.940814359	0.252370063	0.840975118	0.002069208	-115.307784941	0.148192167	0.840877349	0.002068991	-115.308732704	0.148193827	0.531035315	0.002084623	154.796042368	0.228218332
354454166.666667000	0.510250995	0.002277539	150.506960348	0.259352184	0.853615530	0.002093575	-119.803707634	0.148038699	0.853519093	0.002093364	-119.802302424	0.148040687	0.509939713	0.002070570	150.307084451	0.235939687
368620333.333333000	0.485164010	0.002255037	145.965962558	0.269823442	0.867677875	0.002109513	-124.450884333	0.147057305	0.867595819	0.002109332	-124.449406124	0.147058235	0.484838589	0.002050251	145.681505009	0.245468218
382786500.000000000	0.455709724	0.002293497	141.281422397	0.291960320	0.883046263	0.002066647	-129.257733003	0.141967109	0.882975899	0.002094498	-129.258006504	0.143795401	0.455372857	0.002040255	140.881618235	0.259865923
396952666.666667000	0.421888430	0.002212929	136.427478937	0.304223831	0.899329014	0.002092665	-134.243621365	0.141274658	0.899284051	0.002092556	-134.243852702	0.141274171	0.421575891	0.002028991	135.873253541	0.278972516
411118833.333333000	0.383627784	0.002169875	131.443615242	0.327309251	0.915884433	0.002114243	-139.410051703	0.140599713	0.915840186	0.002114133	-139.412249375	0.140599285	0.383303974	0.002017066	130.678419832	0.304572707
425285000.000000000	0.340514398	0.002129281	126.349027516	0.361253148	0.932295912	0.002123895	-144.771445572	0.139194529	0.932248216	0.002123783	-144.774645827	0.139194243	0.340166241	0.002005272	125.310368533	0.340644139
439451166.666667000	0.292473791	0.002097359	121.142193032	0.413672265	0.948017301	0.002105109	-150.329915537	0.136042129	0.947995062	0.002105060	-150.333718111	0.136042094	0.292125009	0.001997566	119.759988672	0.394407866
453617333.333333000	0.240025990	0.002058327	115.866744439	0.493757983	0.962192860	0.002098105	-156.075306168	0.134010154	0.962170539	0.002098057	-156.078949793	0.134010229	0.239668471	0.001989248	114.026930213	0.477734468
467783500.000000000	0.183623393	0.002018254	110.728626640	0.631425064	0.974116376	0.002106033	-161.975244430	0.133299954	0.974093639	0.002105986	-161.978986653	0.133300121	0.183210236	0.001980576	108.177615201	0.621009930
481949666.666667000	0.123752111	0.001996571	106.267365914	0.925147987	0.983104545	0.002099118	-168.020593020	0.131995783	0.983092090	0.002099095	-168.024529425	0.131995953	0.123223091	0.001985298	102.316910995	0.923658283
496115833.333333000	0.061717401	0.001978850	104.940445411	1.838187611	0.988566539	0.001652083	-174.161279446	0.102939998	0.988556470	0.001652064	-174.165668221	0.102939931	0.060827268	0.001982981	96.675537573	1.868947655
510282000.000000000	0.010520944	0.001974813	-165.488485569	10.759681767	0.990164052	0.001886155	179.652103861	0.117974041	0.990147429	0.001886125	179.645855082	0.117974131	0.002850808	0.001982891	-107.316078229	39.852598804
524448166.666667000	0.067342201	0.001978417	-105.669309513	1.684107162	0.987688829	0.001882832	173.461539828	0.118162721	0.987684900	0.001882823	173.454850662	0.118162674	0.066429643	0.001979629	-97.143600755	1.708349804
538614333.333333000	0.129724855	0.001995432	-107.655395189	0.882538045	0.981314664	0.002094020	167.317819837	0.132489720	0.981315108	0.002094020	167.314186000	0.132489520	0.129072290	0.001979715	-102.893645775	0.880028808
552780500.000000000	0.189954812	0.002021628	-112.235416700	0.612001494	0.971442564	0.002108718	161.274199995	0.134701353	0.971439450	0.002108713	161.268577185	0.134701294	0.189323813	0.001981317	-108.732516650	0.601986717
