%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
340288000.000000000	0.525618792	0.002519134	152.253418519	0.265912041	0.816735999	0.002552125	-118.600017703	0.176165142	0.816318972	0.002550473	-118.607724401	0.176140256	0.525328931	0.002519356	150.733457623	0.266130751
354454166.666667000	0.500613494	0.002468451	147.915541068	0.274097342	0.829577937	0.002575529	-123.352099777	0.175270098	0.829168853	0.002573890	-123.343022044	0.175244288	0.500293231	0.002470240	146.260274127	0.274577696
368620333.333333000	0.471348192	0.002414846	143.572359578	0.285541057	0.843400516	0.002590649	-128.284505584	0.173535956	0.842973925	0.002589019	-128.287916832	0.173513844	0.470886636	0.002413892	141.758096592	0.285776746
382786500.000000000	0.436422637	0.002362783	139.073274462	0.303191375	0.858158662	0.002581831	-133.413069987	0.169612034	0.857744017	0.002554871	-133.407145806	0.167906622	0.435878119	0.002363471	137.104019502	0.303301435
396952666.666667000	0.396947117	0.002298948	134.477028179	0.325357999	0.873278062	0.002583683	-138.726050146	0.166965431	0.872870005	0.002582221	-138.728669124	0.166948507	0.396413166	0.002296242	132.327814833	0.325444445
411118833.333333000	0.353837903	0.002224691	129.993898331	0.354293216	0.887792428	0.002599342	-144.218889370	0.165492100	0.887356503	0.002597860	-144.227912212	0.165478498	0.353225907	0.002221803	127.587674849	0.354435134
425285000.000000000	0.305482654	0.002153115	125.744033273	0.398692474	0.901334706	0.002603470	-149.916038786	0.163428367	0.900892989	0.002602159	-149.918436045	0.163426222	0.304661309	0.002143348	122.975436100	0.397832189
439451166.666667000	0.252080546	0.002084244	121.922357550	0.469614154	0.913272729	0.002587113	-155.807167383	0.160212704	0.912826241	0.002585895	-155.799864064	0.160215520	0.251091501	0.002075402	118.694383997	0.469266112
453617333.333333000	0.196421729	0.002018846	119.006385893	0.585443502	0.922694016	0.002578517	-161.846111416	0.158143955	0.922249170	0.002577222	-161.834074296	0.158140678	0.195211202	0.002009993	115.188626598	0.586709500
467783500.000000000	0.139217692	0.001959923	118.594404972	0.804070594	0.929098021	0.002577303	-167.981505248	0.157211676	0.928649705	0.002575960	-167.979990901	0.157205470	0.137404898	0.001953339	113.852447015	0.812084209
481949666.666667000	0.082485941	0.001930461	126.893412596	1.338910821	0.932062850	0.002568740	-174.214697261	0.156350852	0.931620144	0.002567491	-174.212484734	0.156349091	0.079012787	0.001919290	120.410699898	1.390104173
496115833.333333000	0.045342864	0.001913778	170.733393368	2.416728063	0.931361919	0.002553478	179.520351675	0.155621383	0.930926206	0.002552287	179.523890459	0.155621623	0.038062492	0.001906504	166.967047877	2.868359668
510282000.000000000	0.072194999	0.001918270	-136.237745976	1.521733326	0.926945690	0.002548779	173.281966563	0.156300066	0.926520686	0.002547631	173.282532665	0.156301364	0.067548139	0.001909270	-133.303280214	1.618674309
524448166.666667000	0.126734300	0.001939849	-124.784284681	0.875065711	0.918945019	0.002534799	167.104775531	0.156905410	0.918507396	0.002533630	167.108520013	0.156907779	0.123831417	0.001932429	-123.346873647	0.892112044
538614333.333333000	0.184064361	0.001978338	-124.203659755	0.612917441	0.907926264	0.002537060	161.039167595	0.159265305	0.907483689	0.002535786	161.043579865	0.159262967	0.181693363	0.001974307	-123.603136604	0.619810907
552780500.000000000	0.238196083	0.002032768	-126.477296178	0.485765335	0.894638819	0.002536806	155.126308280	0.161911312	0.894193252	0.002535450	155.129882571	0.161905423	0.235993064	0.002030653	-126.366474903	0.489923686
566946666.666667000	0.288251665	0.002102810	-129.992305730	0.414636591	0.879405615	0.002518043	149.382811009	0.163573989	0.878980544	0.002516795	149.388864044	0.163571914	0.286110612	0.002095018	-130.247628402	0.416095650
581112833.333333000	0.334662595	0.002166276	-134.164237532	0.367276335	0.862860493	0.002504660	143.838570889	0.166002341	0.862422170	0.002503355	143.844304567	0.166000247	0.332506567	0.002156137	-134.736313977	0.367769808
595279000.000000000	0.376866885	0.002226514	-138.378335741	0.334485717	0.846099139	0.002514750	138.467015121	0.170471894	0.845668641	0.002513252	138.473724565	0.170457239	0.374655715	0.002221670	-139.245625521	0.335870088
609445166.666667000	0.414004119	0.002278277	-142.498726086	0.311185097	0.829609681	0.002499931	133.288358944	0.173005150	0.829189081	0.002498335	133.294455716	0.172982010	0.411798754	0.002282186	-143.635170638	0.313577737
623611333.333333000	0.446142654	0.002322403	-146.739118001	0.293796457	0.813582711	0.002459818	128.312608889	0.173450854	0.813171965	0.002458295	128.318184649	0.173431640	0.443983712	0.002323548	-148.100023746	0.295477795
637777500.000000000	0.474509830	0.002353299	-150.984713485	0.279508841	0.798433684	0.002415124	123.507499347	0.173632678	0.798049301	0.002415032	123.512712168	0.173752948	0.472275185	0.002375988	-152.520276877	0.283700432
651943666.666667000	0.499511494	0.002402809	-155.006455367	0.271181875	0.784499374	0.002429718	118.826166869	0.178144105	0.784112929	0.002428149	118.835571603	0.178117223	0.497024063	0.002404728	-156.694462011	0.272943240
666109833.333333000	0.519849698	0.002499718	-158.898994408	0.271656338	0.772451810	0.002410775	114.294545058	0.179609596	0.772061115	0.002384827	114.304855433	0.178185431	0.517142805	0.002463695	-160.742160433	0.269429197
680276000.000000000	0.535424786	0.002496942	-162.831665143	0.263843588	0.762275480	0.002393457	109.892799525	0.180916728	0.761917006	0.002392125	109.902822865	0.180901301	0.532506328	0.002487555	-164.832569015	0.264230315
694442166.666667000	0.548586412	0.002512577	-166.711158968	0.259091067	0.753451816	0.002383857	105.572370387	0.182541492	0.753093852	0.002382481	105.584412798	0.182523128	0.545343601	0.002503746	-168.873983510	0.259691128
708608333.333333000	0.559577556	0.002533470	-170.442378341	0.256400298	0.746175423	0.002394836	101.305752328	0.185674187	0.745805261	0.002393276	101.316770760	0.185645690	0.555969258	0.002530321	-172.797747759	0.257856789
722774500.000000000	0.566264255	0.002546164	-174.090793199	0.254898538	0.741149871	0.002381320	97.088760685	0.185946746	0.740779141	0.002379768	97.100117170	0.185919521	0.562473226	0.002541116	-176.671829198	0.256186690
736940666.666667000	0.569338230	0.002527692	-177.762326088	0.251451357	0.738185222	0.002345131	92.906474133	0.183677184	0.737823808	0.002343752	92.918069302	0.183659116	0.565466004	0.002517083	179.436661173	0.252067682
751106833.333333000	0.571090493	0.002510311	178.545581318	0.248900975	0.736393499	0.002335650	88.744506672	0.183582774	0.736034837	0.002334273	88.757576797	0.183564392	0.567009820	0.002501526	175.555129189	0.249815054
765273000.000000000	0.570413276	0.002524180	174.934560041	0.251266372	0.736284243	0.002356080	84.572392426	0.185706841	0.735894826	0.002354513	84.584690939	0.185682152	0.565971535	0.002518748	171.746897302	0.252772444
779439166.666667000	0.565231091	0.002542318	171.406007032	0.256311303	0.738489289	0.002356910	80.352400496	0.185442493	0.738126679	0.002355470	80.365761166	0.185420976	0.560500552	0.002531643	167.976901092	0.257400593
793605333.333333000	0.556710566	0.002521349	167.780384088	0.258448595	0.742507833	0.002347716	76.082163299	0.183822343	0.742151817	0.002346405	76.094773643	0.183808030	0.551687901	0.002505954	164.094693175	0.259103491
807771500.000000000	0.546533400	0.002487883	164.049450068	0.259801202	0.747870363	0.002366779	71.780548815	0.184397999	0.747490549	0.002365351	71.793410077	0.184381246	0.541034945	0.002475607	160.106082457	0.261160969
821937666.666667000	0.533274894	0.002480356	160.394321204	0.265912101	0.754644822	0.002408807	67.378865431	0.186460884	0.754270592	0.002406249	67.392325218	0.186387105	0.527134221	0.002465961	156.139475839	0.267556146
836103833.333333000	0.515717818	0.002424935	156.816510377	0.269138577	0.762910251	0.002377538	62.845473627	0.182058329	0.762549983	0.002376195	62.860029589	0.182042364	0.508974962	0.002412052	152.160797137	0.271269535
850270000.000000000	0.494787063	0.002359694	153.098382711	0.272867403	0.772583775	0.002363952	58.200877611	0.178880068	0.772234480	0.002362750	58.215029710	0.178870610	0.487502909	0.002344754	147.999970364	0.275190720
864436166.666667000	0.471148218	0.002297002	149.311520911	0.278932723	0.783133270	0.002380536	53.444968135	0.178139882	0.782762741	0.002379179	53.462467063	0.178123469	0.463170289	0.002285640	143.770026061	0.282460277
878602333.333333000	0.443942880	0.002263256	145.722451635	0.292418884	0.794129585	0.002398181	48.531900535	0.177449839	0.793764580	0.002396844	48.548075766	0.177433235	0.434995960	0.002246894	139.673020522	0.296382516
892768500.000000000	0.411932190	0.002232431	142.280009184	0.311908723	0.805602851	0.002401140	43.446583141	0.175495676	0.805254638	0.002400103	43.462192263	0.175495528	0.401916235	0.002200897	135.578227944	0.314989535
906934666.666667000	0.375595171	0.002163273	138.869278951	0.331654290	0.817489981	0.002405052	38.196517749	0.173644134	0.817119812	0.002404115	38.212834564	0.173654806	0.364394072	0.002124435	131.372782028	0.335389738
921100833.333333000	0.336585610	0.002070263	135.774953695	0.353593247	0.828892276	0.002410821	32.793140254	0.172138501	0.828507775	0.002409720	32.810917173	0.172139572	0.323776987	0.002039284	127.339614788	0.362054657
935267000.000000000	0.294802409	0.001995229	133.415369527	0.388967469	0.839066826	0.002407075	27.240457176	0.170200777	0.838689469	0.002405906	27.256945510	0.170195207	0.279744846	0.001967575	123.733675211	0.404289276
949433166.666667000	0.249587227	0.001927679	132.168382361	0.444038168	0.847911580	0.002392644	21.541079190	0.168023319	0.847541495	0.002393552	21.555969917	0.167804783	0.231574597	0.001903261	120.708475972	0.472380584
963599333.333333000	0.203395643	0.001875231	132.811153216	0.529488383	0.855038893	0.002382978	15.710700451	0.166128201	0.854678383	0.002382093	15.726720173	0.166136013	0.181268070	0.001832583	118.970261995	0.580378870
977765500.000000000	0.159968906	0.001822567	137.049654002	0.653368428	0.859738304	0.002380116	9.801631852	0.165465034	0.859370452	0.002379123	9.817419881	0.165466693	0.131457489	0.001783056	120.456232597	0.777804679
